linh_vuc,ma_luat,dieu_kien,tang_pheu,nguyen_nhan,cach_sua,do_tin_cay,nguon_tham_khao
youtube,YT-01,ctr < 0.03 AND retention >= retention_baseline,ctr,"CTR thấp dù nội dung giữ chân tốt → bao bì (thumbnail + tiêu đề) yếu","Làm lại thumbnail tương phản cao, chữ to ít từ; tiêu đề gợi tò mò; A/B test thumbnail",cao,"Benchmark CTR YouTube 2-10% (vidIQ/TubeBuddy)"
youtube,YT-02,ctr >= 0.06 AND retention < retention_baseline * 0.7,retention,"CTR cao nhưng giữ chân kém → giật tít, nội dung không đúng lời hứa của bao bì","Chỉnh tiêu đề/thumbnail khớp nội dung thật; đưa thứ đã hứa lên 30 giây đầu",cao,"Creator Insider - audience retention"
youtube,YT-03,retention >= 0.5 AND views < views_baseline * 0.5,impressions,"Nội dung tốt nhưng ít người thấy → lỗi phân phối/SEO chứ không phải lỗi nội dung","Rà từ khóa tiêu đề/mô tả/tags; chọn chủ đề có lượng tìm kiếm; đăng đúng khung giờ",vừa,"YouTube Search & Discovery"
youtube,YT-04,hook_retention < 0.6,retention,"Mất người xem trong 15-30 giây đầu → hook (mở màn) yếu","Vào thẳng nội dung trong 5 giây đầu; bỏ intro dài; nhá trước kết quả cuối video",cao,"Quy tắc 30s đầu - cộng đồng creator"
youtube,YT-05,impressions < impressions_baseline * 0.6,impressions,"Impressions tụt mạnh → chủ đề nguội hoặc SEO yếu đi","Quay lại nhóm chủ đề đang có nhu cầu tìm kiếm; làm mới bộ từ khóa",vừa,"YouTube Analytics - reach"
youtube,YT-06,views < views_baseline * 0.7 AND subs < subs_baseline AND watchtime < watchtime_baseline * 0.7,views,"Views + subs + watchtime cùng giảm → cảnh báo sức khỏe kênh (không phải lỗi 1 video)","Rà định hướng nội dung 90 ngày; khảo sát khán giả; dồn tần suất vào nhóm chủ đề hiệu quả nhất",cao,"Channel health check 90 ngày"
youtube,YT-07,rpm < rpm_baseline * 0.7 AND views >= views_baseline,revenue,"RPM thấp dù views ổn → do ngách/vùng địa lý/mùa quảng cáo, KHÔNG phải lỗi video","Không sửa video; cân nhắc chủ đề CPM cao hơn; đa dạng nguồn thu ngoài Adsense",cao,"YouTube RPM theo ngách/geo"
youtube,YT-08,ctr < ctr_baseline * 0.7,ctr,"CTR giảm rõ so với nền kênh → bao bì kém hấp dẫn hơn thường lệ","So thumbnail/tiêu đề với 5 video CTR tốt nhất của kênh; quay lại công thức đang thắng",vừa,"So sánh nội bộ kênh"
youtube,YT-09,retention < 0.3,retention,"Giữ chân rất thấp (<30%) → cấu trúc video dàn trải, nhịp chậm","Cắt gọn không thương tiếc; tăng nhịp chuyển cảnh; mở vòng lặp tò mò xuyên video",cao,"Benchmark retention 40-50% là khá"
youtube,YT-10,engagement < 0.02 AND views >= views_baseline,engagement,"Xem nhiều nhưng tương tác ít → thiếu kêu gọi hành động hoặc nội dung không gây cảm xúc","Thêm 1 câu hỏi thảo luận cụ thể; CTA rõ ràng đúng 1 lần mỗi video",vừa,"Engagement rate benchmark"
