bien_luat,cot_report,he_so,ghi_chu
ctr,Impressions click-through rate (%),0.01,"Tỷ lệ nhấp (report ghi %, nhân 0.01 để về 0-1)"
retention,Average percentage viewed (%),0.01,"Tỷ lệ xem trung bình (report ghi %, về 0-1)"
hook_retention,Stayed to watch (%),0.01,"Tỷ lệ ở lại xem sau khi bấm vào (mở màn/hook, về 0-1)"
impressions,Impressions,1,"Số lần hiển thị thumbnail"
views,Views,1,"Lượt xem"
engaged_views,Engaged views,1,"Lượt xem có tương tác"
watchtime,Watch time (hours),1,"Tổng giờ xem"
avg_view_duration_min,Average view duration,,"Thời lượng xem TB (dạng h:mm:ss, không map số trực tiếp — để tham khảo)"
revenue,Estimated revenue (USD),1,"Doanh thu ước tính"
ad_revenue,YouTube ad revenue (USD),1,"Doanh thu quảng cáo"
rpm,RPM (USD),1,"Doanh thu trên 1000 lượt xem"
cpm,CPM (USD),1,"Chi phí trên 1000 hiển thị quảng cáo"
subs,Subscribers,1,"Người đăng ký ròng (có thể âm)"
duration_sec,Duration,1,"Độ dài video (giây)"
new_viewers,New viewers,1,"Người xem mới"
returning_viewers,Returning viewers,1,"Người xem quay lại"
unique_viewers,Unique viewers,1,"Người xem duy nhất"
card_ctr,Clicks per card shown (%),0.01,"Tỷ lệ nhấp thẻ card (về 0-1)"
endscreen_ctr,Clicks per end screen element shown (%),0.01,"Tỷ lệ nhấp end screen (về 0-1)"
views,Số lượt xem,1,"[VN] Lượt xem"
retention,Tỷ lệ phần trăm đã xem trung bình (%),0.01,"[VN] Tỷ lệ xem trung bình (về 0-1)"
hook_retention,Ở lại xem (%),0.01,"[VN] Ở lại xem sau khi bấm (về 0-1)"
ctr,Tỷ lệ nhấp của số lượt hiển thị hình thu nhỏ (%),0.01,"[VN] CTR thumbnail (về 0-1)"
impressions,Lượt hiển thị hình thu nhỏ,1,"[VN] Số lần hiển thị thumbnail"
engaged_views,Lượt xem có chủ đích,1,"[VN] Lượt xem có tương tác"
watchtime,Thời gian xem (giờ),1,"[VN] Tổng giờ xem"
duration_sec,Thời lượng,1,"[VN] Độ dài video (giây)"
new_viewers,Người xem mới,1,"[VN] Người xem mới"
returning_viewers,Người xem cũ,1,"[VN] Người xem quay lại"
unique_viewers,Số người xem riêng biệt,1,"[VN] Người xem duy nhất"
subs,Số người đăng ký,1,"[VN] Người đăng ký ròng"
card_ctr,Số lần nhấp trên mỗi thẻ hiển thị (%),0.01,"[VN] CTR thẻ card (về 0-1)"
endscreen_ctr,Số lượt nhấp trên mỗi lượt hiển thị thành phần màn hình kết thúc (%),0.01,"[VN] CTR end screen (về 0-1)"
revenue,Doanh thu ước tính (USD),1,"[VN] Doanh thu ước tính"
rpm,Doanh thu mỗi nghìn lượt xem (USD),1,"[VN] RPM - doanh thu trên 1000 lượt xem"
ad_revenue,Doanh thu từ quảng cáo trên YouTube (USD),1,"[VN] Doanh thu quảng cáo"
cpm,Chi phí mỗi 1000 lượt hiển thị quảng cáo (CPM) (USD),1,"[VN] CPM"
